metric_group,model,accuracy,precision,recall,f1,auc,MAE,RMSE,R2,Adjusted_R2
classification,Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
classification,Decision Tree,0.7696629213483146,0.6901408450704225,0.7205882352941176,0.7050359712230215,0.754144385026738,,,,
classification,Random Forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736,,,,
regression,Linear Regression,,,,,,20.669973608352603,42.44240378182529,0.3248142140256356,0.3051867202473111
